Exp,Wks,BlueCol,Ind,South,SMSA,Married,Sex,Union,Ed,Black,LWage
23,49,yes,0,yes,no,yes,male,no,16,no,6.60665
24,50,yes,0,yes,no,yes,male,no,16,no,6.63332
25,48,no,0,yes,no,yes,male,no,16,no,6.74524
26,46,yes,0,yes,no,yes,male,no,16,no,6.82763
4,50,yes,0,yes,no,yes,male,no,8,yes,5.4161
5,44,yes,0,yes,no,yes,male,no,8,yes,5.45959
6,48,yes,0,yes,no,yes,male,no,8,yes,5.45959
7,43,yes,0,yes,no,no,male,no,8,yes,5.57973
8,6,yes,0,yes,no,no,male,no,8,yes,5.70378
9,6,yes,0,yes,no,no,male,no,8,yes,5.70378
10,35,yes,0,yes,no,no,male,no,8,yes,5.70378
13,49,yes,0,no,yes,yes,male,no,12,no,6.22456
14,37,yes,0,no,yes,yes,male,no,12,no,6.30992
15,49,yes,0,no,yes,yes,male,no,12,no,6.30992
16,48,yes,0,no,yes,yes,male,no,12,no,6.38519
17,22,yes,0,no,yes,yes,male,no,12,no,6.43455
18,50,yes,0,no,yes,yes,male,no,12,no,6.55108
19,48,yes,0,no,yes,no,male,no,12,no,6.68461
12,50,no,0,yes,yes,no,male,no,17,no,6.74524
13,44,no,0,yes,yes,no,male,no,17,no,6.72743
14,50,no,0,yes,yes,no,male,no,17,no,6.88244
15,45,no,0,yes,yes,yes,male,no,17,no,6.92756
16,44,no,0,yes,yes,no,male,no,17,no,6.89972
17,51,no,0,yes,yes,no,male,no,17,no,7.02731
18,49,no,0,yes,yes,no,male,no,17,no,7.1309
3,49,no,0,no,yes,yes,male,no,16,no,6.52209
4,46,no,0,no,yes,yes,male,no,16,no,6.68461
5,48,no,0,no,yes,yes,male,no,16,no,6.80239
6,48,no,0,no,yes,yes,male,no,16,no,7.00307
7,48,no,0,no,yes,yes,male,no,16,no,7.00307
8,48,no,0,no,yes,yes,male,no,16,no,7.27932
9,48,no,1,no,yes,yes,male,no,16,no,7.37776
33,47,no,0,no,no,yes,male,no,13,no,6.65286
34,47,no,0,no,no,yes,male,no,13,no,6.77422
35,47,no,0,no,no,yes,male,no,13,no,6.80239
36,47,no,0,no,no,yes,male,no,13,no,6.85646
37,48,no,0,no,no,yes,male,no,13,no,7.00307
38,48,yes,0,no,no,yes,male,no,13,no,7.09008
39,48,yes,0,no,no,yes,male,no,13,no,7.06902
8,48,yes,1,no,no,yes,male,yes,12,no,6.54535
9,51,no,1,no,no,yes,male,yes,12,no,6.45362
10,49,no,1,no,no,yes,male,yes,12,no,6.57786
11,49,no,1,no,no,yes,male,yes,12,no,6.67456
12,50,yes,1,no,no,yes,male,yes,12,no,6.77308
13,50,no,1,no,no,yes,male,yes,12,no,6.86901
14,50,yes,1,no,no,yes,male,yes,12,no,6.90776
29,46,yes,1,no,yes,yes,male,no,12,no,6.63857
30,47,yes,1,no,yes,yes,male,no,12,no,6.68461
31,47,yes,1,no,yes,yes,male,no,12,no,6.7334
32,47,yes,1,no,yes,yes,male,no,12,no,6.88244
33,47,yes,1,no,yes,yes,male,no,12,no,6.9256
34,47,yes,1,no,yes,yes,male,no,12,no,7.04141
35,47,yes,1,no,yes,yes,male,no,12,no,7.08841
30,49,no,1,no,no,yes,male,no,12,no,6.55108
31,49,no,1,no,no,yes,male,no,12,no,6.58617
32,49,no,0,no,no,yes,male,no,12,no,6.65286
33,52,no,1,no,no,yes,male,no,12,no,6.43775
34,48,no,1,no,no,yes,male,no,12,no,6.62007
35,50,no,1,no,no,yes,male,no,12,no,6.80239
36,49,yes,1,no,no,yes,male,yes,12,no,6.68461
25,38,no,0,no,yes,yes,male,yes,17,no,6.62007
26,40,no,0,no,yes,yes,male,yes,17,no,6.80239
27,39,no,0,no,yes,yes,male,yes,17,no,6.85646
28,38,no,0,no,yes,yes,male,yes,17,no,6.90776
29,39,no,0,no,yes,yes,male,yes,17,no,6.95655
30,39,no,0,no,yes,yes,male,yes,17,no,7.09008
31,35,no,0,no,yes,yes,male,yes,17,no,7.1507
9,50,yes,0,no,no,yes,male,no,12,no,6.10925
10,52,yes,0,no,no,yes,male,no,12,no,6.21461
11,52,yes,0,no,no,yes,male,no,12,no,6.21461
12,52,yes,0,no,no,yes,male,no,12,no,6.5582
13,52,yes,0,no,no,yes,male,no,12,no,6.66568
14,46,yes,0,no,no,yes,male,no,12,no,6.86171
15,52,yes,0,no,no,yes,male,no,12,no,6.97073
8,50,yes,0,no,yes,yes,male,no,12,no,5.743
9,38,yes,0,no,yes,yes,male,no,12,no,6.05209
10,49,no,0,no,yes,yes,male,no,12,no,6.07993
11,49,yes,0,no,yes,yes,male,no,12,no,6.30992
12,51,yes,0,no,yes,yes,male,no,12,no,6.39693
13,51,yes,0,no,yes,yes,male,no,12,no,6.47697
14,49,yes,0,no,yes,no,male,no,12,no,6.51471
10,50,yes,1,yes,yes,yes,male,yes,12,no,6.04025
11,52,yes,1,yes,yes,yes,male,yes,12,no,6.18415
12,51,yes,1,yes,yes,yes,male,yes,12,no,6.21461
13,49,yes,1,yes,yes,yes,male,yes,12,no,6.30992
14,49,yes,1,yes,yes,yes,male,yes,12,no,6.4552
15,50,yes,1,yes,yes,yes,male,yes,12,no,6.52209
16,49,yes,1,yes,yes,yes,male,yes,12,no,6.64249
10,49,yes,1,yes,yes,no,female,no,11,yes,6.07304
11,46,yes,1,yes,yes,no,female,no,11,yes,6.19441
12,50,yes,1,yes,yes,no,female,no,11,yes,6.31897
13,50,yes,1,yes,yes,no,female,no,11,yes,6.39526
14,46,yes,1,yes,yes,no,female,no,11,yes,6.47697
15,45,yes,1,yes,yes,no,female,no,11,yes,6.59715
16,41,yes,1,yes,yes,no,female,no,11,yes,6.69208
37,50,yes,1,no,no,yes,male,yes,12,no,6.17794
38,50,yes,1,no,no,yes,male,yes,12,no,6.31716
39,50,yes,1,no,no,yes,male,yes,12,no,6.41182
40,50,yes,1,no,no,yes,male,yes,12,no,6.39693
41,40,yes,1,no,no,yes,male,yes,12,no,6.51471
42,48,yes,1,no,no,yes,male,yes,12,no,6.61338
43,45,yes,1,no,no,yes,male,yes,12,no,6.67834
10,50,no,0,no,yes,yes,male,no,15,no,6.71538
11,48,no,0,no,yes,yes,male,no,15,no,6.78559
12,48,no,0,no,yes,yes,male,no,15,no,6.88449
13,47,no,0,no,yes,yes,male,no,15,no,7.00307
14,43,no,0,no,yes,yes,male,no,15,no,7.09008
15,49,no,0,no,yes,yes,male,no,15,no,7.17012
16,48,no,0,no,yes,yes,male,no,15,no,7.29302
10,20,yes,0,no,no,no,female,no,10,no,5.01064
11,30,yes,0,no,no,no,female,no,10,no,5.01064
12,36,yes,0,no,no,no,female,no,10,no,5.52146
13,52,yes,0,no,no,no,female,no,10,no,5.66988
14,52,yes,0,no,no,no,female,no,10,no,5.73657
15,29,yes,0,no,no,no,female,no,10,no,5.81413
16,40,yes,0,no,no,no,female,no,10,no,5.81413
3,40,no,0,no,yes,yes,male,no,17,no,6.23245
4,42,no,0,no,yes,yes,male,no,17,no,6.57925
5,44,no,0,no,yes,yes,male,yes,17,no,6.65286
6,48,no,0,no,yes,yes,male,yes,17,no,6.74524
7,48,no,0,no,yes,yes,male,no,17,no,7.49554
8,48,no,0,no,yes,yes,male,no,17,no,8.16052
9,50,no,0,no,yes,yes,male,no,17,no,8.3082
25,50,no,0,yes,no,yes,male,no,17,no,6.90575
26,50,no,0,yes,no,yes,male,no,17,no,6.90575
27,51,no,0,yes,no,yes,male,no,17,no,7.40853
28,51,no,0,yes,no,yes,male,no,17,no,7.46737
29,51,no,0,yes,no,yes,male,no,17,no,7.52294
30,49,no,0,yes,no,yes,male,no,17,no,7.46737
31,50,no,0,yes,no,yes,male,no,17,no,7.57558
24,39,yes,0,yes,no,yes,male,no,9,no,5.67332
25,47,yes,0,yes,no,yes,male,no,9,no,5.7462
26,49,yes,0,yes,no,yes,male,no,9,no,5.82895
27,50,yes,0,yes,no,yes,male,no,9,no,6.07993
28,52,yes,0,yes,no,yes,male,no,9,no,5.99146
29,49,yes,0,yes,no,yes,male,no,9,no,5.99146
30,49,yes,0,yes,no,yes,male,no,9,no,6.13773
12,51,yes,0,no,yes,no,male,no,12,yes,5.99146
13,51,yes,0,no,yes,no,male,no,12,yes,5.92693
14,50,yes,0,no,yes,no,male,no,12,yes,6.07993
15,49,no,0,no,yes,no,male,no,12,yes,6.07993
16,45,no,0,no,yes,no,male,no,12,yes,6.2634
17,52,no,0,no,yes,no,male,no,12,yes,6.43775
18,28,no,0,no,yes,no,male,no,12,yes,6.55108
10,48,no,1,no,yes,yes,male,no,16,no,6.90575
11,47,no,1,no,yes,yes,male,no,16,no,6.90575
12,47,no,1,no,yes,yes,male,no,16,no,7.22766
13,46,no,1,no,yes,yes,male,no,16,no,7.29302
14,48,no,1,no,yes,yes,male,no,16,no,7.33368
15,49,no,0,no,yes,yes,male,no,16,no,7.57353
16,50,no,0,no,yes,yes,male,no,16,no,7.27101
28,48,no,1,no,yes,yes,male,no,16,no,6.90575
29,46,no,1,no,yes,yes,male,no,16,no,6.90575
30,46,no,1,no,yes,yes,male,no,16,no,7.34601
31,49,no,1,no,yes,yes,male,no,16,no,7.31322
32,44,no,1,no,yes,yes,male,no,16,no,7.55486
33,48,no,1,no,yes,yes,male,no,16,no,7.71869
34,43,no,1,no,yes,yes,male,no,16,no,7.69621
5,28,yes,1,no,yes,no,male,yes,12,no,6.08222
6,40,no,1,no,yes,no,male,yes,12,no,6.51323
7,29,yes,1,no,yes,no,male,yes,12,no,6.62141
8,46,yes,1,no,yes,no,male,yes,12,no,6.6995
9,48,yes,1,no,yes,no,male,yes,12,no,6.79571
10,49,yes,1,no,yes,no,male,yes,12,no,6.89669
11,48,yes,1,no,yes,no,male,yes,12,no,6.99668
3,49,no,0,no,yes,no,female,no,12,no,5.96615
4,50,no,0,no,yes,no,female,no,12,no,6.11147
5,48,no,0,no,yes,no,female,no,12,no,6.17379
6,49,no,0,no,yes,no,female,no,12,no,6.22059
7,48,no,0,no,yes,no,female,no,12,no,6.28972
8,50,no,0,no,yes,no,female,no,12,no,6.36475
9,49,no,0,no,yes,no,female,no,12,no,6.72743
4,50,yes,0,no,no,yes,male,no,14,no,6.43615
5,50,no,0,no,no,yes,male,no,14,no,6.65929
6,50,no,0,no,no,yes,male,no,14,no,6.74524
7,50,no,0,no,no,yes,male,no,14,no,6.85646
8,50,no,0,no,no,yes,male,no,14,no,6.90776
9,49,no,0,no,no,yes,male,no,14,no,7.1333
10,47,no,0,no,no,yes,male,no,14,no,7.21891
19,49,no,0,no,yes,no,female,no,15,no,6.77422
20,51,no,0,no,yes,no,female,no,15,no,6.82546
21,48,no,0,no,yes,no,female,no,15,no,6.07993
22,49,no,0,no,yes,no,female,no,15,no,6.90776
23,47,no,0,no,yes,no,female,no,15,no,6.21461
24,52,no,0,no,yes,no,female,no,15,no,6.70073
25,50,no,0,no,yes,no,female,no,15,no,6.59304
3,49,yes,1,no,no,yes,male,no,9,no,6.10032
4,48,yes,1,no,no,yes,male,no,9,no,6.15698
5,49,yes,1,no,no,yes,male,no,9,no,6.24222
6,50,yes,1,no,no,yes,male,no,9,no,6.38351
7,51,yes,1,no,no,yes,male,no,9,no,6.42487
8,47,yes,1,no,no,yes,male,no,9,no,6.57228
9,49,yes,1,no,no,yes,male,no,9,no,6.75693
20,47,yes,0,no,no,yes,male,no,16,no,5.7462
21,47,yes,0,no,no,yes,male,no,16,no,5.92693
22,49,yes,0,no,no,yes,male,no,16,no,6.01616
23,50,yes,0,no,no,yes,male,no,16,no,5.94803
24,46,yes,0,no,no,yes,male,no,16,no,6.05209
25,48,yes,0,no,no,yes,male,no,16,no,6.32436
26,49,yes,0,no,no,yes,male,no,16,no,6.3699
11,48,no,0,no,yes,yes,male,no,12,no,6.28972
12,48,no,0,no,yes,yes,male,no,12,no,6.39693
13,50,no,0,no,no,yes,male,no,12,no,6.54535
14,50,no,0,no,yes,yes,male,no,12,no,6.73102
15,51,no,0,no,yes,yes,male,no,12,no,7.49332
16,50,no,0,no,yes,yes,male,no,12,no,6.73102
17,50,no,0,no,yes,yes,male,no,12,no,6.98286
14,46,yes,1,yes,no,yes,male,yes,12,no,6.55108
15,26,no,1,yes,no,yes,male,no,12,no,6.86693
16,50,no,1,yes,no,yes,male,no,12,no,6.9256
17,49,no,1,yes,no,yes,male,no,12,no,7.06476
18,49,yes,1,yes,no,yes,male,no,12,no,7.1309
19,49,yes,1,yes,no,yes,male,no,12,no,7.43838
20,32,yes,1,yes,no,yes,male,yes,12,no,7.14441
8,51,yes,0,yes,no,yes,female,no,14,no,5.85793
9,51,yes,0,yes,no,yes,female,no,14,no,5.8861
10,51,yes,0,yes,no,yes,female,no,14,no,5.99146
11,50,yes,0,yes,no,yes,female,no,14,no,6.02828
12,50,yes,0,yes,no,yes,female,no,14,no,6.10925
13,50,yes,0,yes,no,no,female,no,14,no,6.16331
14,51,yes,0,yes,no,no,female,no,14,no,6.21461
10,36,yes,0,yes,no,no,female,no,8,no,5.42053
11,36,yes,0,yes,no,no,female,no,8,no,5.51745
12,39,yes,0,yes,no,no,female,no,8,no,5.19296
13,36,yes,0,yes,no,no,female,no,8,no,5.34711
14,35,yes,0,yes,no,no,female,no,8,no,5.64191
15,38,yes,0,yes,no,no,female,no,8,no,5.65948
16,41,yes,0,yes,no,no,female,no,8,no,5.75257
25,47,yes,1,no,yes,yes,male,no,12,no,6.55393
26,47,yes,1,no,yes,yes,male,no,12,no,6.71538
27,47,yes,1,no,yes,yes,male,no,12,no,6.62407
28,47,yes,1,no,yes,yes,male,no,12,no,6.83087
29,47,yes,1,no,yes,yes,male,no,12,no,6.95655
30,47,yes,1,no,yes,yes,male,yes,12,no,6.7901
31,47,yes,1,no,yes,yes,male,yes,12,no,7.09008
23,48,yes,0,no,no,yes,male,yes,12,no,6.55108
24,49,yes,0,no,no,yes,male,yes,12,no,6.62007
25,48,yes,0,no,no,yes,male,yes,12,no,6.70564
26,48,yes,0,no,no,yes,male,yes,12,no,6.78559
27,46,yes,0,no,no,yes,male,yes,12,no,6.88857
28,46,yes,0,no,no,yes,male,yes,12,no,7.0076
29,47,yes,0,no,no,yes,male,yes,12,no,7.11233
35,45,yes,0,no,yes,yes,male,no,12,no,6.80239
36,45,yes,0,no,yes,yes,male,no,12,no,6.85646
37,45,yes,0,no,yes,yes,male,no,12,no,6.98008
38,46,yes,0,no,yes,yes,male,no,12,no,7.09589
39,44,yes,0,no,yes,yes,male,no,12,no,7.48829
40,44,yes,0,no,yes,yes,male,no,12,no,7.45124
41,30,yes,1,no,yes,yes,male,yes,12,no,7.47873
22,47,yes,0,no,yes,no,male,yes,12,no,6.90575
23,49,yes,0,no,yes,yes,male,yes,12,no,6.90575
24,45,yes,0,no,yes,yes,male,yes,12,no,7.11639
25,26,yes,0,no,yes,yes,male,yes,12,no,7.07412
26,22,yes,0,no,yes,yes,male,yes,12,no,7.0579
27,48,yes,0,no,yes,yes,male,yes,12,no,7.02643
28,42,yes,0,no,yes,yes,male,yes,12,no,7.26263
10,49,no,0,no,yes,yes,male,no,12,no,6.62007
11,48,no,0,no,yes,yes,male,no,12,no,6.62007
12,48,no,0,no,yes,yes,male,no,12,no,6.83303
13,48,no,0,no,yes,yes,male,no,12,no,6.9256
14,47,no,0,no,yes,yes,male,no,12,no,7.02376
15,46,no,0,no,yes,yes,male,no,12,no,7.06305
16,48,no,0,no,yes,yes,male,no,12,no,7.18311
23,48,no,0,no,yes,yes,male,no,17,no,6.90575
24,48,no,0,no,no,yes,male,no,17,no,6.90575
25,49,no,0,no,no,yes,male,no,17,no,7.04752
26,48,no,0,no,no,yes,male,no,17,no,7.09008
27,48,no,0,no,no,yes,male,no,17,no,7.1309
28,48,no,0,no,no,yes,male,no,17,no,6.99942
29,49,no,0,no,no,yes,male,no,17,no,7.01481
6,51,yes,1,yes,no,yes,male,no,9,no,6.09582
7,51,yes,1,yes,no,yes,male,no,9,no,6.29157
8,50,yes,1,yes,no,yes,male,no,9,no,6.40523
9,50,yes,1,yes,no,yes,male,no,9,no,6.62007
10,49,yes,1,yes,no,yes,male,no,9,no,6.71901
11,50,yes,1,yes,no,yes,male,no,9,no,6.82546
12,50,yes,1,yes,no,yes,male,no,9,no,6.95464
25,50,yes,1,yes,no,yes,male,yes,6,no,6.10032
26,51,yes,1,yes,no,yes,male,yes,6,no,6.29157
27,51,yes,1,yes,no,yes,male,yes,6,no,6.29157
28,51,yes,1,yes,no,yes,male,yes,6,no,6.37161
29,44,yes,1,yes,no,yes,male,yes,6,no,6.47389
30,41,yes,1,yes,no,yes,male,yes,6,no,6.54679
31,42,yes,1,yes,no,yes,male,yes,6,no,6.5903
6,48,no,1,no,yes,yes,male,yes,12,no,6.286
7,49,no,1,no,yes,yes,male,yes,12,no,6.4599
8,42,no,1,no,yes,yes,male,yes,12,no,6.54965
9,15,no,1,no,yes,yes,male,yes,12,no,6.64639
10,44,no,1,no,yes,yes,male,yes,12,no,6.76849
11,47,yes,1,no,yes,yes,male,yes,12,no,6.84162
12,44,no,1,no,yes,yes,male,yes,12,no,6.94794
32,48,no,0,no,yes,yes,male,no,16,no,6.90575
33,49,no,0,no,yes,yes,male,no,16,no,6.90575
34,50,no,0,no,yes,yes,male,no,16,no,7.36518
35,48,no,0,no,yes,yes,male,no,16,no,7.42476
36,49,no,0,no,yes,yes,male,no,16,no,7.46737
37,52,no,0,no,yes,yes,male,no,16,no,7.28139
38,50,no,0,no,yes,yes,male,no,16,no,7.49332
11,47,yes,0,no,no,yes,male,yes,12,no,6.54965
12,45,yes,0,no,no,yes,male,yes,12,no,6.83518
13,48,yes,0,no,no,yes,male,yes,12,no,6.79794
14,48,yes,0,no,no,yes,male,yes,12,no,6.80128
15,48,yes,0,no,no,yes,male,yes,12,no,6.91075
16,51,yes,1,no,no,yes,male,yes,12,no,6.69084
17,49,yes,1,no,no,yes,male,yes,12,no,6.47697
11,52,no,1,yes,yes,yes,male,no,16,no,6.44572
12,50,no,1,yes,yes,yes,male,no,16,no,6.62007
13,50,no,1,yes,yes,yes,male,no,16,no,6.69703
14,50,no,1,yes,yes,yes,male,no,16,no,6.82979
15,50,no,1,yes,yes,yes,male,no,16,no,6.90776
16,51,no,1,yes,yes,yes,male,no,16,no,6.72263
17,52,no,1,yes,yes,yes,male,no,16,no,6.72022
7,46,yes,0,yes,no,yes,male,no,9,no,6.05209
8,50,yes,0,yes,no,yes,male,no,9,no,6.21461
9,49,yes,0,yes,no,yes,male,no,9,no,6.43775
10,48,yes,0,yes,no,yes,male,no,9,no,6.58617
11,50,yes,0,yes,no,yes,male,no,9,no,6.68461
12,50,yes,0,yes,no,yes,male,no,9,no,6.74524
13,40,yes,0,yes,no,yes,male,no,9,no,6.90776
20,50,yes,1,yes,no,no,female,no,7,no,5.53339
21,50,yes,1,yes,no,no,female,no,7,no,5.82008
22,50,yes,1,yes,no,no,female,no,7,no,5.8999
23,50,yes,1,yes,no,no,female,no,7,no,5.97635
24,49,yes,1,yes,no,no,female,no,7,no,6.05209
25,48,yes,1,yes,no,no,female,no,7,no,6.12905
26,39,yes,1,yes,no,no,female,no,7,no,6.21261
29,47,no,1,no,no,yes,male,no,12,no,6.68461
30,48,no,1,no,no,yes,male,no,12,no,6.68461
31,47,no,1,no,no,yes,male,no,12,no,6.77422
32,45,no,1,no,no,yes,male,no,12,no,6.84588
33,45,no,1,no,no,yes,male,no,12,no,7.02554
34,45,no,1,no,no,yes,male,no,12,no,7.08841
35,45,no,1,no,no,yes,male,no,12,no,7.1309
8,50,no,0,no,yes,no,male,no,13,no,6.39693
9,50,no,0,no,yes,no,male,no,13,no,6.51915
10,48,no,0,no,yes,no,male,no,13,no,6.60394
11,50,no,0,no,yes,no,male,no,13,no,6.73815
12,49,no,0,no,yes,no,male,no,13,no,6.84268
13,48,no,0,no,yes,no,male,no,13,no,6.90776
14,50,no,0,no,yes,no,male,no,13,no,7.09008
3,43,no,0,no,no,yes,male,no,17,no,6.17379
4,38,no,0,no,no,yes,male,no,17,no,6.33683
5,36,no,0,no,no,yes,male,no,17,no,6.35437
6,36,no,0,no,no,yes,male,no,17,no,6.39526
7,36,no,0,no,no,yes,male,yes,17,no,6.55108
8,37,no,0,no,no,yes,male,yes,17,no,6.68461
9,38,no,0,no,no,yes,male,no,17,no,6.73102
20,48,yes,1,no,no,yes,male,yes,11,no,6.16331
21,47,yes,1,no,no,yes,male,yes,11,no,6.24222
22,48,yes,1,no,no,yes,male,yes,11,no,6.36647
23,47,yes,1,no,no,yes,male,yes,11,no,6.44254
24,47,yes,1,no,no,yes,male,yes,11,no,6.51026
25,45,yes,1,no,no,yes,male,yes,11,no,6.62407
26,47,yes,1,no,no,yes,male,yes,11,no,6.71538
7,50,no,0,yes,yes,no,female,no,12,no,5.90808
8,50,no,0,yes,yes,no,female,no,12,no,5.92693
9,51,no,0,yes,yes,no,female,no,12,no,6.10702
10,51,no,0,yes,yes,no,female,no,12,no,6.26149
11,48,no,0,yes,yes,no,female,no,12,no,6.26149
12,50,no,0,yes,yes,no,female,no,12,no,6.31716
13,50,no,0,yes,yes,no,female,no,12,no,6.42487
19,46,no,0,no,yes,yes,male,no,9,no,6.07993
20,52,no,0,no,yes,yes,male,no,9,no,6.07993
21,51,no,0,no,yes,yes,male,no,9,no,6.13773
22,50,no,0,no,yes,yes,male,no,9,no,6.18826
23,51,no,0,no,yes,yes,male,no,9,no,6.18826
24,51,no,0,no,yes,yes,male,no,9,no,5.96615
25,52,no,0,no,yes,yes,male,no,9,no,6.01616
32,50,yes,0,yes,no,yes,male,yes,9,no,6.47697
33,48,yes,0,yes,no,yes,male,yes,9,no,6.53669
34,45,yes,0,yes,no,yes,male,no,9,no,6.58617
35,38,yes,0,yes,no,yes,male,yes,9,no,6.67203
36,28,yes,0,yes,no,yes,male,yes,9,no,6.80239
37,44,yes,0,yes,no,yes,male,yes,9,no,6.93731
38,46,yes,0,yes,no,yes,male,yes,9,no,7.04752
25,45,yes,0,yes,no,yes,male,yes,12,no,6.54679
26,48,yes,0,yes,no,yes,male,yes,12,no,6.68461
27,42,yes,0,yes,no,yes,male,yes,12,no,6.90776
28,36,yes,0,yes,no,yes,male,yes,12,no,6.69456
29,48,yes,0,yes,no,yes,male,yes,12,no,6.90776
30,34,yes,0,yes,no,yes,male,yes,12,no,6.93828
31,34,yes,0,yes,no,yes,male,yes,12,no,7.04839
12,48,no,0,no,yes,yes,male,no,13,no,6.90575
13,50,no,0,no,yes,yes,male,no,13,no,6.90575
14,50,no,0,no,no,yes,male,no,13,no,7.34278
15,49,no,0,no,no,yes,male,no,13,no,7.47591
16,49,no,0,no,yes,yes,male,no,13,no,7.50108
17,49,no,0,no,yes,yes,male,no,13,no,7.21744
18,47,no,0,no,yes,yes,male,no,13,no,7.87284
13,51,no,0,no,yes,yes,male,no,17,no,6.90575
14,35,no,0,no,yes,yes,male,no,17,no,6.90575
15,52,no,0,no,yes,yes,male,no,17,no,7.31322
16,52,no,0,no,yes,yes,male,no,17,no,7.70661
17,52,no,0,no,yes,yes,male,no,17,no,6.98286
18,52,no,0,no,yes,yes,male,no,17,no,7.46737
19,51,no,0,no,yes,yes,male,no,17,no,7.91936
15,22,yes,0,no,yes,no,female,no,11,yes,5.39363
16,46,yes,0,no,yes,no,female,no,11,yes,5.52146
17,50,yes,0,no,yes,no,female,yes,11,yes,5.75257
18,49,yes,0,no,yes,no,female,yes,11,yes,5.75257
19,50,yes,0,no,yes,no,female,yes,11,yes,5.81413
20,41,yes,0,no,yes,no,female,no,11,yes,5.95324
21,42,yes,0,no,yes,no,female,no,11,yes,6.05209
23,49,no,0,no,no,yes,male,no,17,no,6.55108
24,40,no,0,no,no,yes,male,no,17,no,6.67203
25,44,no,0,no,no,yes,male,no,17,no,6.66568
26,43,no,0,no,no,yes,male,no,17,no,6.67203
27,41,no,0,no,no,yes,male,no,17,no,6.71538
28,40,no,0,no,no,yes,male,no,17,no,6.80239
29,42,no,0,no,no,yes,male,no,17,no,6.8977
34,39,yes,1,no,no,no,male,yes,8,no,6.62007
35,48,yes,1,no,no,no,male,yes,8,no,6.62007
36,48,yes,1,no,no,no,male,yes,8,no,6.71538
37,48,yes,1,no,no,no,male,yes,8,no,6.80239
38,47,yes,1,no,no,no,male,yes,8,no,6.85646
39,45,yes,1,no,no,no,male,yes,8,no,6.90776
40,45,yes,1,no,no,no,male,yes,8,no,6.95655
30,49,no,1,no,yes,yes,male,no,10,no,6.77422
31,48,no,1,no,yes,yes,male,no,10,no,6.90575
32,49,no,1,no,yes,yes,male,no,10,no,6.90776
33,49,no,1,no,yes,yes,male,no,10,no,7.3696
34,52,no,1,no,yes,yes,male,no,10,no,7.45298
35,49,no,1,no,yes,yes,male,no,10,no,7.64969
36,48,no,1,no,yes,yes,male,yes,10,no,7.54961
7,49,no,1,no,yes,yes,male,no,17,no,6.90575
8,48,no,1,no,yes,yes,male,no,17,no,6.90575
9,49,no,1,no,yes,yes,male,no,17,no,7.09008
10,49,no,1,no,yes,yes,male,no,17,no,7.20786
11,47,no,1,no,yes,yes,male,no,17,no,7.31322
12,49,no,1,no,yes,yes,male,no,17,no,7.20117
13,49,no,1,no,yes,yes,male,no,17,no,7.6009
27,48,no,0,no,yes,yes,male,no,11,no,6.90575
28,49,yes,0,no,yes,yes,male,no,11,no,6.90575
29,49,yes,0,no,yes,yes,male,no,11,no,7.00307
30,51,yes,0,no,yes,yes,male,no,11,no,7.09008
31,48,yes,0,no,yes,yes,male,no,11,no,7.1309
32,49,yes,0,no,yes,yes,male,no,11,no,7.08171
33,48,yes,1,no,yes,yes,male,no,11,no,7.24423
24,49,no,0,no,yes,yes,male,no,12,no,6.286
25,48,yes,0,no,yes,yes,male,no,12,no,6.35437
26,49,yes,0,no,yes,yes,male,no,12,no,6.43775
27,49,yes,0,no,yes,yes,male,no,12,no,6.43775
28,49,yes,0,no,yes,yes,male,no,12,no,6.47697
29,49,yes,0,no,yes,yes,male,no,12,no,6.55108
30,49,yes,0,no,yes,yes,male,no,12,no,6.55108
35,48,no,0,yes,yes,yes,male,no,16,yes,6.2634
36,50,no,0,yes,yes,yes,male,no,16,yes,6.17379
37,50,no,0,yes,yes,yes,male,no,16,yes,6.10925
38,46,no,0,yes,yes,yes,male,no,16,yes,6.10925
39,52,no,0,yes,yes,yes,male,no,16,yes,6.30992
40,51,no,0,yes,yes,yes,male,no,16,yes,6.21461
41,50,no,0,yes,yes,yes,male,no,16,yes,6.39693
17,49,no,0,yes,yes,yes,male,no,17,no,6.85646
18,49,no,0,yes,yes,yes,male,no,17,no,6.90575
19,49,no,0,yes,yes,yes,male,no,17,no,7.04752
20,49,no,0,yes,yes,yes,male,no,17,no,7.1309
21,47,no,0,yes,yes,yes,male,no,17,no,7.24423
22,48,no,0,yes,yes,yes,male,no,17,no,6.99485
23,48,no,0,yes,yes,yes,male,no,17,no,7.54961
4,49,no,0,no,no,yes,male,no,13,no,6.05209
5,50,no,0,no,no,yes,male,no,13,no,6.05209
6,50,no,0,no,no,yes,male,no,13,no,6.21461
7,51,no,0,no,no,yes,male,no,13,no,6.33328
8,50,no,0,no,no,yes,male,no,13,no,6.43775
9,49,no,0,no,no,yes,male,no,13,no,6.19236
10,49,no,0,no,no,yes,male,no,13,no,6.53233
11,46,yes,1,no,no,yes,male,yes,12,no,6.31536
12,12,yes,1,no,no,yes,male,yes,12,no,6.33328
13,49,yes,1,no,no,yes,male,yes,12,no,6.40192
14,49,yes,1,no,no,yes,male,yes,12,no,6.54103
15,48,yes,1,no,no,yes,male,yes,12,no,6.54679
16,49,yes,1,no,no,yes,male,yes,12,no,6.65028
17,49,yes,1,no,no,yes,male,yes,12,no,6.68835
19,48,no,0,no,yes,yes,male,no,12,no,6.81344
